source_path,label,action,reason,output_path,duplicate_of,image_format,width,height,sha256,dhash,entropy,edge_density,frame_count
data\raw\ascending_triangle\ascending_triangle_0001.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0001.png,,png,547,295,da9231a9f93681f2efa55510db213a2d050b950e8b5bf5d73b8af1bfd93e9bca,026c49f2e4c8d4d4,0.7114610443262563,0.05303929770712239,1
data\raw\ascending_triangle\ascending_triangle_0002.webp,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0002.png,,webp,2001,1012,33ec776ec9a2a30dad35bbf87d4f0620bbdcf93b80a213ed4e490d008d1665ab,090fc971f1c1a181,0.9315033016062859,0.02984007298838374,1
data\raw\ascending_triangle\ascending_triangle_0003.webp,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0003.png,,webp,1080,1080,313bddf4d6ac3c8a21a61885503c27cadbd456ef388dc545dc1bfa8098de8a88,0426e2d8ac202000,1.1439690444495307,0.0160599128540305,1
data\raw\ascending_triangle\ascending_triangle_0004.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0004.png,,jpg,1485,777,41dc35b9fc5068e13f3deda228e18de8935b5cec9024a277d39fd77b8dbde883,466409aab2d1a20a,3.0041223726141557,0.05769374501400645,1
data\raw\ascending_triangle\ascending_triangle_0005.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0005.png,,jpg,736,736,699204f6e2156caf0296043e0d9637482a20a182a0f53a2ce77da9f72326da00,030664f02169210d,2.15692959545744,0.030330368353626895,1
data\raw\ascending_triangle\ascending_triangle_0006.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0006.png,,png,709,503,8b27252e25f5e4f217fc34d07da12d785bc2c6d41310ec1df7626a1de837e666,d20726a9538687ec,1.5099419717275417,0.12175641084217338,1
data\raw\ascending_triangle\ascending_triangle_0007.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0007.png,,png,750,485,dd2311cef820b95c0d6ff3ba9655bbd62b23fa6f1874ae53b08a0e5dcb2d10e7,703146dcd1e20800,0.369712592742731,0.02180970015497608,1
data\raw\ascending_triangle\ascending_triangle_0008.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0008.png,,jpg,1500,808,e48f09a4f90f42242527d40daa8c7de19b01a9a6ed133c520255ef2c82a9fcdd,991a9fade5478e21,4.967275047905852,0.06593916068077396,1
data\raw\ascending_triangle\ascending_triangle_0009.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0009.png,,png,1366,768,81863650e69913a1779d824c0dbe8a9e81bf441c686791a7780a32933e48ec7e,60e0c2e3c5c50107,4.874399818209529,0.029674577478014143,1
data\raw\ascending_triangle\ascending_triangle_0010.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0010.png,,jpg,736,736,98a6665416a2db6ec0ab75d74731fd57c945020db8b9b9beb1c13273d5c7c314,ecec0e7c58e08480,1.4326263703647393,0.0348366799756292,1
